country,year,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,perception_of_corruption,generosity,electricity_access_pc,prim_school_enrol_rate,ARV_coverage,battle_deaths,birth_rate,child_labour_pc,children_not_in_school_pc,CPI,GDP_growth,gini_index,income_top_10pc,income_bottom_10pc,internet_coverage,under5_mortality,smokers_pc,male_femaLe_labour_force_part,real_eff_xr,renew_elect_output,rural_pop_pc,youth_not_in_ed_emply,suicide_mortality,time_to_start_bus,alcohol_cons_percap,unemployment_pc,women_married_by_15,country,region,region
Liberia,2015,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,15.23,,20.0,,34.22,,,147.59,-0.02,,,,10,88.3,9.6,,,0,50.18,,4.5,6,3.63,2.56,,Liberia,"Sub-Saharan Africa","Sub-Saharan Africa"
India,2015,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,88,,38.0,504.0,18.76,,,146.79,8,34.7,29.7,3.6,14.9,43.6,32.2,,,15.34,67.22,,12.3,30,4.96,7.89,,India,"Southern Asia","Southern Asia"
Haiti,2015,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,40.8,,49.0,,25.51,,,129.16,1.4,,,,14.2,70.1,8.6,,,8,47.57,,10,97,3.22,13.72,,Haiti,"Latin America and Caribbean","Latin America and Caribbean"
Nepal,2015,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,82.01,98.34,43.0,,22.05,,1.6,152.39,3.98,,,,17.58,35.5,36.0,92.47,,100,81.44,,8.5,17,1.22,10.66,,Nepal,"Southern Asia","Southern Asia"
Ethiopia,2015,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,29,85.2,61.0,49.0,33.43,,17.64,207.29,10.39,35.0,28.5,2.9,13.86,62.4,5.5,,,99.96,80.57,,5.5,35,2.52,2.41,,Ethiopia,"Sub-Saharan Africa","Sub-Saharan Africa"
"Sierra Leone",2015,123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,19.66,97.8,19.0,,34.56,,1.39,134.09,-20.49,,,,6.34,141,18.1,,142.63,60.98,59.17,,5.9,10,0.31,4.74,,"Sierra Leone","Sub-Saharan Africa","Sub-Saharan Africa"
Mauritania,2015,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,39.5,,27.0,,35.18,,,123.42,5.38,,,,17.6,48.9,12.6,,,13.37,48.91,,3,8,0,10.1,17.8,Mauritania,"Sub-Saharan Africa","Sub-Saharan Africa"
Kenya,2015,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,41.6,,63.0,48.0,30.96,,,150.19,4.97,40.8,31.6,2.4,16.59,45.9,12.8,,,87.51,74.34,,5.5,28,2.78,2.77,,Kenya,"Sub-Saharan Africa","Sub-Saharan Africa"
Armenia,2015,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,100,93.03,,9.0,14.64,,0.37,124.77,3.2,32.4,26.7,3.4,59.1,14.4,26.9,74.85,103.09,28.34,36.92,35.56,6.2,5,4.98,12.31,,Armenia,"Central and Eastern Europe","Central and Eastern Europe"
Botswana,2015,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,62.13,,73.0,,26.41,,,132.88,-4.85,53.3,41.5,1.5,37.31,45.4,21.7,,,0.03,32.84,,19,48,7.08,18.88,,Botswana,"Sub-Saharan Africa","Sub-Saharan Africa"
Myanmar,2015,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,60.5,,41.0,629.0,18.4,,,129.32,6.99,38.1,31.7,3.0,10.9,51.8,48.8,64.34,,58.85,70.14,18.62,3.2,16,1.62,0.77,,Myanmar,"Southeastern Asia","Southeastern Asia"
Georgia,2015,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,100,99.74,57.0,,15.79,,1.39,114.66,3.03,36.5,27.8,2.6,47.57,10.5,32.0,73.52,98.32,78.04,42.55,27.44,10.5,2,13.95,16.51,,Georgia,"Central and Eastern Europe","Central and Eastern Europe"
Malawi,2015,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,10.8,,61.0,,35.77,48.9,,250.62,2.8,,,,6,56.6,13.1,,79.82,91.31,83.69,,6.2,38,3.37,4.93,9.0,Malawi,"Sub-Saharan Africa","Sub-Saharan Africa"
"Sri Lanka",2015,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,94.33,99.06,22.0,,15.89,,3.86,131.37,4.21,,,,15.26,8.8,23.3,47.93,,48.48,81.74,26.63,15.1,10,2.86,4.52,,"Sri Lanka","Southern Asia","Southern Asia"
Cameroon,2015,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,58.62,95.2,33.0,924.0,37.81,,4.77,112.87,5.67,,,,18.3,88.1,8.4,,93.5,76.12,45.42,,9.5,16.5,10.72,3.51,,Cameroon,"Sub-Saharan Africa","Sub-Saharan Africa"
Bulgaria,2015,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,96.58,91.99,33.0,,9.2,,3.34,106.61,3.4,38.6,28.7,1.5,56.66,8.1,40.7,80.92,97.08,17.99,26.01,19.28,9.8,25,11.44,9.14,,Bulgaria,"Central and Eastern Europe","Central and Eastern Europe"
Angola,2015,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,42,,24.0,,42.02,,,159.7,0.94,,,,22,88.3,,,,53.17,36.55,,6.5,36,7.76,16.45,,Angola,"Sub-Saharan Africa","Sub-Saharan Africa"
Mali,2015,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,37.6,60.64,33.0,172.0,44.34,,42.13,110.31,6.17,,,,10.33,115.6,9.9,76.75,,43.52,60.01,24.94,4.3,8.5,4.59,1.43,,Mali,"Sub-Saharan Africa","Sub-Saharan Africa"
Comoros,2015,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,74.08,,29.0,,32.15,,,,1.15,,,,7.46,61.2,23.5,,,0,71.53,,5.5,16,0.2,4.86,,Comoros,"Sub-Saharan Africa","Sub-Saharan Africa"
Uganda,2015,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,18.5,,58.0,,39.42,,13.39,149.96,5.19,,,,5.8,56,10.9,,101.21,92.95,77.94,,4.7,27,13.28,2.79,,Uganda,"Sub-Saharan Africa","Sub-Saharan Africa"
Senegal,2015,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,60.5,75.44,44.0,,35.36,25.14,24.28,104.6,6.37,,,,21.7,51,8.3,59.48,,10.42,54.14,36.26,6.4,6,0.37,6.76,8.5,Senegal,"Sub-Saharan Africa","Sub-Saharan Africa"
Gabon,2015,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,87.33,,44.0,,31.04,,,109.0,3.88,,,,45.78,50.4,,,92.54,43.74,11.88,,9.6,47,8.6,19.82,,Gabon,"Sub-Saharan Africa","Sub-Saharan Africa"
Niger,2015,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,16.6,62.49,40.0,368.0,46.56,,38.1,104.2,4.39,,,,2.48,120.2,7.9,,,0.75,83.75,,5.4,16,0.18,0.56,,Niger,"Sub-Saharan Africa","Sub-Saharan Africa"
Cambodia,2015,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,62.72,95.56,66.0,,22.34,,5.23,117.5,6.97,,,,18,31.7,25.2,85.02,,46.42,77.81,6.59,5.1,87,7.06,0.39,,Cambodia,"Southeastern Asia","Southeastern Asia"
Tanzania,2015,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,26.22,,48.0,,38.74,,19.92,158.02,6.16,,,,10,58,11.6,,,34.15,68.38,,4.2,29,11.65,2.13,,Tanzania,"Sub-Saharan Africa","Sub-Saharan Africa"
Madagascar,2015,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,23.76,,4.0,,32.76,,2.03,139.55,3.13,,,,4.17,66,31.3,93.7,,54.6,64.81,,5.5,13,1.01,1.79,,Madagascar,"Sub-Saharan Africa","Sub-Saharan Africa"
"Central African Republic",2015,148,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,12.71,,29.0,27.0,41.04,,,133.05,4.34,,,,2.9,115.5,,,112.64,99.42,59.72,,14.4,22,1.94,6.01,,"Central African Republic","Sub-Saharan Africa","Sub-Saharan Africa"
Chad,2015,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,7.7,79.36,40.0,275.0,46.37,55.9,20.66,116.69,2.77,,,,3.5,129.5,9.4,,,0,77.48,,6.8,60,4.58,0.93,29.7,Chad,"Sub-Saharan Africa","Sub-Saharan Africa"
Guinea,2015,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,34.88,,31.0,,37.89,,25.15,185.58,3.83,,,,9.2,112.6,,,,78.75,64.86,,7.2,15,0.5,5.38,,Guinea,"Sub-Saharan Africa","Sub-Saharan Africa"
"Burkina Faso",2015,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,16.15,69.96,54.0,,40.09,,32.26,107.75,3.92,,,,6.55,101.1,17.0,,,9.35,72.47,,8,13,9.66,4.53,,"Burkina Faso","Sub-Saharan Africa","Sub-Saharan Africa"
Afghanistan,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,71.5,,5.0,17278.0,38.8,,,132.88,1.45,,,,8.26,70.2,26.0,,,86.05,75.2,,4,8.5,0.01,9,8.8,Afghanistan,"Southern Asia","Southern Asia"
Rwanda,2015,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,22.8,,71.0,,31.83,,,126.35,8.86,,,,12.5,47.7,15.9,,,56.89,83,,5.7,6,1.37,11.85,0.4,Rwanda,"Sub-Saharan Africa","Sub-Saharan Africa"
Benin,2015,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,29.62,,48.0,,39.02,,,109.74,1.78,47.8,37.6,1.0,11.25,97.9,8.6,,,5.56,54.3,,8.1,12.5,8.1,1.81,,Benin,"Sub-Saharan Africa","Sub-Saharan Africa"
Burundi,2015,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,7.89,,50.0,185.0,41.32,,8.18,154.02,-3.9,,,,2,67.9,13.9,,117.52,82.71,87.92,,6.4,4,4.19,1.52,,Burundi,"Sub-Saharan Africa","Sub-Saharan Africa"
Togo,2015,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,44.75,94.05,40.0,,34.39,,5.8,111.18,5.47,43.1,31.6,1.9,7.12,75.9,8.2,124.01,94.37,75.31,59.9,17.76,9.7,10,1.72,2.2,,Togo,"Sub-Saharan Africa","Sub-Saharan Africa"
